"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
Amount.............................................................................,"184,248","28,021","21,893","38,120","29,416","18,061","29,319","19,418",,,
Self-employment retirement plans [6]:  Number...............,"4,166",218,246,662,955,668,963,454,,,
Amount.........................................................................,"31,762",520,595,"2,172","4,105","4,440","11,059","8,871",,,
Total itemized deductions [7]:Number...................................,"153,142","15,563","17,623","45,975","42,772","15,900","11,456","3,853",,,
Amount.................................................................................,"2,281,487","176,243","172,434","497,711","559,098","267,467","272,021","336,513",,,
Medical and dental expense:  Number.................................,"31,580","9,914","6,534","9,660","4,219",899,333,21,,,
Amount.............................................................................,"131,351","50,592","23,983","34,001","14,677","4,893","2,549",656,,,
Taxes paid:  Number............................................................,"152,277","14,792","17,548","45,967","42,773","15,891","11,455","3,851",,,
Amount.............................................................................,"738,111","23,580","33,378","127,137","182,988","101,261","116,432","153,335",,,
Interest paid:  Number..........................................................,"134,459","11,439","15,054","41,558","39,273","14,297","9,770","3,068",,,
Amount.............................................................................,"940,571","64,851","76,450","226,357","239,600","104,012","97,335","131,966",,,
Contributions:  Number........................................................,"128,113","10,131","13,330","37,544","37,859","14,780","10,770","3,699",,,
Amount.............................................................................,"387,248","16,255","23,744","73,543","89,296","44,449","51,096","88,865",,,
Taxable income:  Number........................................................,"400,839","137,018","75,435","97,407","56,870","17,764","12,277","4,068",,,
Amount.................................................................................,"10,302,523","598,568","936,284","2,292,498","2,329,976","1,092,609","1,240,676","1,811,912",,,
Total tax credits [8]:Number..................................................,"35,972","4,777","5,630","11,256","8,099","2,753","2,229","1,228",,,
Amount.................................................................................,"20,723","1,210","1,875","4,117","3,515","1,406","1,956","6,644",,,
Child care credit:  Number...................................................,"26,743","3,036","4,760","9,719","6,526","1,730",835,137,,,
Amount.............................................................................,"9,582",970,"1,573","3,363","2,587",686,338,65,,,
Earned income credit [9]:Number.........................................,"81,449","64,081","17,368",--,--,--,--,0,,,
Amount.................................................................................,"116,619","103,703","12,917",--,--,--,--,-1,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"61,649","55,739","5,910",--,--,--,--,0,,,
Amount.............................................................................,"90,029","85,851","4,177",--,--,--,--,1,,,
Income tax [11]:Number........................................................,"398,460","135,060","75,127","97,304","56,854","17,769","12,276","4,070",,,
Amount.................................................................................,"2,056,068","90,219","138,906","352,880","386,132","216,079","290,821","581,031",,,
Total tax liability [12]:Number................................................,"417,026","152,423","76,089","97,510","56,884","17,771","12,278","4,071",,,
Amount.................................................................................,"2,206,719","117,637","156,658","384,044","413,428","231,129","311,204","592,619",,,
Tax due at time of filing [13]:Number....................................,"150,045","46,756","23,762","37,774","23,315","9,176","6,766","2,496",,,
Amount.................................................................................,"383,738","22,797","23,678","52,310","54,640","37,221","62,668","130,424",,,
Overpayments [14]:Number..................................................,"329,063","175,802","51,722","57,243","31,608","7,617","4,274",797,,,
Amount.................................................................................,"371,829","167,360","47,939","61,382","48,600","16,964","17,613","11,971",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
ILLINOIS,,,,,,,,0,,,
Number of returns....................................................................,"5,488,875","2,310,304","782,419","1,038,513","728,553","307,539","238,661","82,886",,,
Number of joint returns.........................................................,"2,178,180","324,450","229,448","505,160","567,026","269,562","210,197","72,337",,,
Number with paid preparer's signature................................,"2,358,542","854,383","309,837","465,646","362,266","157,742","141,341","67,327",,,
Number of exemptions [3]........................................................,"10,842,008","3,082,232","1,499,841","2,344,001","2,033,942","917,420","714,221","250,351",,,
Adjusted gross income (AGI) [4]..............................................,"226,032,679","19,397,936","19,343,422","40,675,009","44,392,073","26,312,615","31,287,533","44,624,091",,,
Salaries and wages in AGI:  Number...................................,"4,689,344","1,818,772","684,174","943,155","672,659","284,716","215,101","70,767",,,
Amount.............................................................................,"166,675,519","15,920,719","15,716,120","33,863,127","36,745,422","21,406,359","22,787,470","20,236,302",,,
Taxable interest:  Number....................................................,"3,271,735","961,951","407,641","703,942","610,427","280,675","225,936","81,163",,,
Amount.............................................................................,"8,718,499","1,568,320","752,473","1,222,551","1,223,986","722,690","1,019,761","2,208,718",,,
Tax-exempt interest [5]:Number........................................,"264,923","37,816","20,103","42,165","48,815","32,015","47,039","36,970",,,
Amount.............................................................................,"2,543,600","126,823","77,251","239,536","318,704","209,003","430,963","1,141,320",,,
Dividends:  Number..............................................................,"1,411,664","343,512","135,357","259,524","277,521","160,807","164,093","70,850",,,
Amount.............................................................................,"5,376,552","533,031","282,687","562,116","681,408","502,317","897,068","1,917,925",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"680,333","211,300","79,634","138,013","118,481","55,477","53,984","23,444",,,
Amount.............................................................................,"7,244,672","669,202","510,599","965,495","1,089,589","797,677","1,601,072","1,611,038",,,
Number of farm returns........................................................,"85,706","24,776","11,464","20,679","16,096","5,921","4,918","1,852",,,
Net capital gain (less loss) in AGI:  Number........................,"1,070,073","244,901","94,928","189,749","206,174","124,738","140,910","68,673",,,
Amount.............................................................................,"13,195,196","516,421","172,046","440,051","684,187","632,700","1,566,805","9,182,986",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"291,827","91,254","45,267","60,202","48,209","21,704","19,049","6,142",,,
Amount.............................................................................,"2,373,713","336,790","229,904","393,302","431,133","276,890","416,202","289,492",,,
Pensions and annuities in AGI:  Number.............................,"896,927","315,657","136,335","180,857","140,536","60,723","47,874","14,945",,,
Amount.............................................................................,"10,078,301","1,974,709","1,387,027","2,172,482","1,996,249","1,039,442","1,040,827","467,565",,,
Social Security benefits in AGI:  Number.............................,"354,462","9,059","66,568","123,096","84,561","32,215","28,174","10,789",,,
Amount.............................................................................,"2,571,667","25,171","116,813","671,465","841,768","379,993","371,447","165,010",,,
Total statutory adjustments:  Number..................................,"791,660","226,054","104,508","169,239","124,515","59,871","68,144","39,329",,,
Amount.............................................................................,"1,990,148","212,860","162,330","302,487","284,652","191,090","382,616","454,113",,,
Self-employment retirement plans [6]:  Number...............,"58,275","1,908","2,271","6,676","11,180","8,616","15,636","11,988",,,
Amount.........................................................................,"500,636","4,290","5,788","22,037","46,370","48,517","154,415","219,219",,,
Total itemized deductions [7]:Number...................................,"1,639,640","121,725","133,888","378,498","461,054","251,130","214,992","78,353",,,
Amount.................................................................................,"25,991,696","1,582,474","1,429,739","4,180,590","6,023,955","4,023,650","4,662,899","4,088,389",,,
Medical and dental expense:  Number.................................,"237,391","69,395","43,978","65,991","38,857","11,817","6,478",875,,,
Amount.............................................................................,"1,556,352","565,943","282,489","314,001","204,231","83,764","76,977","28,947",,,
Taxes paid:  Number............................................................,"1,638,696","118,485","133,809","379,356","462,028","251,390","215,145","78,483",,,
Amount.............................................................................,"8,986,373","366,668","335,156","1,174,521","1,939,339","1,395,531","1,748,392","2,026,766",,,
Interest paid:  Number..........................................................,"1,411,313","75,824","104,134","327,923","420,842","229,195","188,669","64,726",,,
Amount.............................................................................,"10,822,471","459,226","549,454","1,868,734","2,758,636","1,769,912","1,963,321","1,453,188",,,
Contributions:  Number........................................................,"1,474,904","84,820","110,801","331,060","424,997","239,417","207,399","76,410",,,
Amount.............................................................................,"3,888,703","98,128","141,025","460,556","706,632","511,215","677,293","1,293,854",,,
Taxable income:  Number........................................................,"4,518,520","1,360,078","768,049","1,034,103","727,655","307,307","238,499","82,829",,,
Amount.................................................................................,"160,170,271","6,246,792","10,846,164","26,853,825","31,539,956","19,606,135","24,698,029","40,379,370",,,
Total tax credits [8]:Number..................................................,"371,665","51,170","51,730","80,678","79,085","40,882","40,937","27,183",,,
Amount.................................................................................,"267,971","15,476","25,757","36,677","34,508","18,677","25,420","111,456",,,
Child care credit:  Number...................................................,"248,930","31,919","44,875","65,224","60,150","26,934","16,796","3,032",,,
Amount.............................................................................,"117,876","13,286","24,018","31,037","27,429","12,575","7,919","1,612",,,
Earned income credit [9]:Number.........................................,"750,567","615,950","134,617",--,--,--,--,0,,,
Amount.................................................................................,"1,065,814","967,397","98,418",--,--,--,--,-1,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"584,887","543,351","41,536",--,--,--,--,0,,,
Amount.............................................................................,"855,637","826,983","28,654",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"4,493,438","1,339,216","764,406","1,033,492","727,629","307,321","238,530","82,844",,,
Amount.................................................................................,"35,534,669","936,299","1,606,182","4,323,055","5,499,541","3,966,460","5,850,001","13,353,131",,,
Total tax liability [12]:Number................................................,"4,613,861","1,453,433","768,911","1,034,791","727,891","307,391","238,579","82,865",,,
Amount.................................................................................,"36,941,292","1,122,527","1,718,798","4,546,453","5,743,362","4,119,980","6,091,474","13,598,698",,,
Tax due at time of filing [13]:Number....................................,"1,340,747","385,506","163,401","269,377","231,804","129,874","113,956","46,829",,,
Amount.................................................................................,"4,191,217","175,714","146,370","357,323","469,238","381,930","684,923","1,975,719",,,
Overpayments [14]:Number..................................................,"3,849,880","1,750,533","597,401","740,395","472,752","164,246","105,240","19,313",,,
Amount.................................................................................,"5,389,021","1,775,444","622,074","1,033,656","902,976","385,939","390,768","278,164",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
INDIANA,,,,,,,,0,,,
Number of returns....................................................................,"2,690,910","1,197,219","392,656","511,738","359,952","127,724","77,937","23,684",,,
Number of joint returns.........................................................,"1,181,706","192,273","143,348","326,543","308,652","118,312","71,383","21,195",,,
Number with paid preparer's signature................................,"1,079,234","406,584","149,373","222,265","169,020","63,541","48,032","20,419",,,
Number of exemptions [3]........................................................,"5,334,151","1,551,142","768,393","1,268,991","1,047,210","389,260","236,780","72,375",,,
Adjusted gross income (AGI) [4]..............................................,"94,527,873","10,430,348","9,676,915","20,155,038","21,821,800","10,890,674","10,045,099","11,507,999",,,
Salaries and wages in AGI:  Number...................................,"2,350,380","974,662","349,825","474,673","340,068","120,264","70,350","20,538",,,
Amount.............................................................................,"72,863,615","8,430,748","7,922,906","17,169,130","18,721,420","9,061,607","6,914,290","4,643,514",,,
Taxable interest:  Number....................................................,"1,517,545","473,772","196,121","334,880","297,542","117,304","74,609","23,317",,,
Amount.............................................................................,"3,047,494","677,363","333,273","495,978","463,070","250,190","314,845","512,775",,,
Tax-exempt interest [5]:Number........................................,"85,403","13,570","7,834","15,332","16,504","9,718","12,870","9,575",,,
Amount.............................................................................,"685,342","43,935","33,541","87,242","97,355","61,849","116,942","244,478",,,
Dividends:  Number..............................................................,"526,784","135,578","55,185","100,641","110,599","56,904","48,379","19,498",,,
Amount.............................................................................,"1,597,751","184,293","100,496","188,610","219,418","149,150","260,546","495,238",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"340,518","104,787","44,972","79,456","61,377","23,570","19,121","7,235",,,
Amount.............................................................................,"3,177,812","328,315","262,490","510,950","508,833","328,377","646,956","591,891",,,
Number of farm returns........................................................,"67,781","20,681","9,594","16,419","12,166","4,570","3,166","1,185",,,
Net capital gain (less loss) in AGI:  Number........................,"400,247","98,781","40,687","75,043","80,936","43,690","42,068","19,042",,,
Amount.............................................................................,"3,305,080","150,609","86,331","196,897","291,532","226,751","474,662","1,878,298",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"126,412","43,201","21,378","26,647","20,104","7,820","5,704","1,558",,,
Amount.............................................................................,"873,625","149,999","105,252","168,475","173,156","99,677","117,328","59,738",,,
Pensions and annuities in AGI:  Number.............................,"451,440","183,343","72,069","87,686","64,386","23,881","15,677","4,398",,,
Amount.............................................................................,"4,452,523","1,181,630","738,304","967,265","783,152","348,998","313,688","119,486",,,
Social Security benefits in AGI:  Number.............................,"148,916","3,875","30,961","55,267","34,826","11,704","9,180","3,103",,,
Amount.............................................................................,"1,020,765","11,460","52,644","287,491","357,320","143,311","122,728","45,811",,,
Total statutory adjustments:  Number..................................,"373,136","106,592","53,400","88,686","60,091","24,866","26,096","13,405",,,
Amount.............................................................................,"711,323","87,302","69,672","127,513","109,628","69,055","135,300","112,853",,,
Self-employment retirement plans [6]:  Number...............,"17,374",552,672,"2,038","3,477","2,703","4,902","3,030",,,
Amount.........................................................................,"144,002",974,"1,601","6,132","13,274","14,928","52,743","54,350",,,
Total itemized deductions [7]:Number...................................,"672,742","43,651","53,505","164,196","215,205","102,875","70,755","22,555",,,
Amount.................................................................................,"9,208,144","680,665","487,624","1,615,021","2,488,111","1,458,405","1,378,405","1,099,913",,,
Medical and dental expense:  Number.................................,"89,264","27,041","17,386","25,836","13,670","3,543","1,631",157,,,
Amount.............................................................................,"604,322","289,505","90,243","113,334","65,174","22,147","16,993","6,926",,,
Taxes paid:  Number............................................................,"675,451","43,266","54,004","165,373","216,156","103,135","70,908","22,609",,,
Amount.............................................................................,"3,258,892","192,017","108,642","453,954","837,827","544,122","553,610","568,720",,,
Interest paid:  Number..........................................................,"593,808","27,219","43,357","147,704","201,054","95,087","61,523","17,864",,,
Amount.............................................................................,"3,596,608","132,811","192,468","729,653","1,112,951","599,587","519,199","309,939",,,
Contributions:  Number........................................................,"574,545","28,971","40,292","132,611","187,871","95,627","67,336","21,837",,,
Amount.............................................................................,"1,558,826","44,949","63,278","210,476","340,431","227,220","257,669","414,803",,,
Taxable income:  Number........................................................,"2,194,745","707,211","388,000","510,499","359,771","127,687","77,897","23,680",,,
Amount.................................................................................,"64,350,867","3,322,764","5,416,703","13,199,002","15,742,348","8,282,085","8,027,205","10,360,760",,,
Total tax credits [8]:Number..................................................,"160,550","21,520","19,725","41,269","40,755","16,656","12,911","7,714",,,
Amount.................................................................................,"90,857","6,149","8,675","18,885","18,353","7,738","8,842","22,215",,,
Child care credit:  Number...................................................,"115,248","14,151","15,898","33,054","33,450","12,046","5,667",982,,,
Amount.............................................................................,"45,227","4,962","6,322","12,195","13,749","5,105","2,406",488,,,
Earned income credit [9]:Number.........................................,"373,038","301,275","71,763",--,--,--,--,0,,,
Amount.................................................................................,"528,233","476,215","52,019",--,--,--,--,-1,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"286,425","266,585","19,840",--,--,--,--,0,,,
Amount.............................................................................,"419,103","405,998","13,105",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"2,185,310","698,880","387,138","510,282","359,743","127,684","77,905","23,678",,,
Amount.................................................................................,"12,999,638","497,523","805,512","2,076,348","2,688,065","1,670,084","1,889,145","3,372,961",,,
Total tax liability [12]:Number................................................,"2,242,023","753,634","388,671","510,617","359,808","127,694","77,919","23,680",,,
Amount.................................................................................,"13,584,938","581,138","863,498","2,190,678","2,799,236","1,733,623","1,983,807","3,432,958",,,
Tax due at time of filing [13]:Number....................................,"567,183","163,600","74,912","123,133","102,925","51,386","37,444","13,783",,,
Amount.................................................................................,"1,480,476","71,502","67,177","159,402","197,079","151,524","250,799","582,993",,,
Overpayments [14]:Number..................................................,"2,000,842","957,496","308,358","376,710","247,783","71,529","33,789","5,177",,,
Amount.................................................................................,"2,567,149","911,523","322,942","506,350","461,813","163,732","123,694","77,095",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
IOWA,,,,,,,,0,,,
Number of returns....................................................................,"1,300,036","592,229","195,995","257,369","161,969","50,217","32,645","9,612",,,
Number of joint returns.........................................................,"604,204","108,550","83,902","181,944","144,940","46,536","29,642","8,690",,,
Number with paid preparer's signature................................,"754,393","296,636","115,686","168,713","107,866","33,110","23,896","8,486",,,
Number of exemptions [3]........................................................,"2,570,355","727,211","396,553","675,367","489,333","154,324","98,321","29,246",,,
Adjusted gross income (AGI) [4]..............................................,"42,582,963","5,071,151","4,836,778","10,088,943","9,772,643","4,272,175","4,258,035","4,283,238",,,
Salaries and wages in AGI:  Number...................................,"1,085,571","460,456","166,625","230,573","147,114","44,875","27,689","8,239",,,
Amount.............................................................................,"30,975,781","3,950,338","3,686,763","8,027,467","7,714,513","3,160,769","2,575,880","1,860,051",,,
Taxable interest:  Number....................................................,"845,848","297,065","120,594","194,437","144,636","47,762","31,828","9,526",,,
Amount.............................................................................,"1,980,023","450,350","245,310","363,825","321,804","157,379","197,480","243,875",,,
Tax-exempt interest [5]:Number........................................,"59,615","10,064","6,353","12,106","12,462","6,626","7,662","4,342",,,
Amount.............................................................................,"429,860","25,317","20,504","61,275","58,318","116,523","58,515","89,408",,,
Dividends:  Number..............................................................,"343,815","98,669","42,218","74,168","68,670","28,752","23,156","8,182",,,
Amount.............................................................................,"871,075","118,369","67,613","120,674","136,740","85,975","134,538","207,166",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"196,819","62,568","29,974","50,295","31,830","10,478","8,872","2,802",,,
Amount.............................................................................,"1,567,398","168,201","147,482","300,636","283,283","165,091","303,621","199,084",,,
Number of farm returns........................................................,"97,146","34,460","16,127","24,092","14,260","4,137","3,264",806,,,
Net capital gain (less loss) in AGI:  Number........................,"296,807","84,982","37,374","64,012","56,885","24,311","21,249","7,994",,,
Amount.............................................................................,"1,671,327","131,137","86,710","172,764","207,188","136,261","246,112","691,155",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"70,343","25,872","12,905","14,780","9,595","3,567","2,842",782,,,
Amount.............................................................................,"380,579","78,960","52,911","75,927","68,504","35,952","45,157","23,168",,,
Pensions and annuities in AGI:  Number.............................,"213,425","82,462","37,210","45,344","29,599","9,846","6,980","1,984",,,
Amount.............................................................................,"1,891,534","476,464","334,070","442,023","333,294","136,503","124,086","45,094",,,
Social Security benefits in AGI:  Number.............................,"92,159","2,014","19,504","35,327","20,927","7,080","5,733","1,574",,,
Amount.............................................................................,"626,573","4,985","31,805","180,483","218,758","88,731","77,280","24,531",,,
Total statutory adjustments:  Number..................................,"246,116","73,803","40,448","64,884","35,702","13,037","13,070","5,172",,,
Amount.............................................................................,"507,673","70,140","61,944","113,275","89,632","49,274","80,553","42,855",,,
Self-employment retirement plans [6]:  Number...............,"15,416",624,896,"2,814","4,273","2,362","3,244","1,203",,,
Amount.........................................................................,"98,504","1,010","2,084","8,638","18,020","14,531","34,677","19,544",,,
Total itemized deductions [7]:Number...................................,"334,769","30,912","31,005","85,312","104,705","43,098","30,371","9,366",,,
Amount.................................................................................,"4,564,621","343,685","341,842","825,212","1,217,580","633,349","641,694","561,259",,,
Medical and dental expense:  Number.................................,"68,922","25,484","14,163","18,299","8,354","1,833",717,72,,,
Amount.............................................................................,"507,562","203,092","141,260","90,846","46,055","13,271","9,952","3,086",,,
Taxes paid:  Number............................................................,"334,989","28,522","31,318","86,713","105,442","43,206","30,417","9,371",,,
Amount.............................................................................,"1,797,273","45,600","66,576","274,193","493,887","287,304","316,449","313,264",,,
Interest paid:  Number..........................................................,"262,824","12,811","20,948","70,838","92,040","36,249","23,112","6,826",,,
Amount.............................................................................,"1,364,458","49,688","76,786","292,675","433,905","206,989","181,730","122,685",,,
Contributions:  Number........................................................,"298,515","22,980","25,208","74,088","96,687","41,199","29,265","9,088",,,
Amount.............................................................................,"717,403","32,215","35,904","104,319","153,824","91,709","113,477","185,955",,,
Taxable income:  Number........................................................,"1,077,400","373,416","192,938","256,740","161,879","50,198","32,627","9,602",,,
Amount.................................................................................,"27,975,128","1,664,500","2,638,599","6,466,469","6,949,666","3,198,380","3,354,507","3,703,007",,,
Total tax credits [8]:Number..................................................,"111,123","13,096","14,748","36,956","28,186","8,265","6,605","3,267",,,
Amount.................................................................................,"50,498","3,375","5,611","15,343","12,124","3,694","3,699","6,652",,,
Child care credit:  Number...................................................,"82,366","8,320","11,736","30,940","22,942","5,437","2,548",443,,,
Amount.............................................................................,"30,333","2,702","4,087","11,089","9,227","2,093",937,198,,,
Earned income credit [9]:Number.........................................,"155,775","124,044","31,731",--,--,--,--,0,,,
Amount.................................................................................,"209,342","186,804","22,538",--,--,--,--,0,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"114,353","105,789","8,564",--,--,--,--,0,,,
Amount.............................................................................,"160,197","154,544","5,653",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"1,070,332","367,419","192,120","256,494","161,865","50,198","32,633","9,603",,,
Amount.................................................................................,"5,415,131","248,203","390,902","997,921","1,162,338","640,082","789,190","1,186,495",,,
Total tax liability [12]:Number................................................,"1,106,416","401,989","193,320","256,765","161,894","50,204","32,635","9,609",,,
Amount.................................................................................,"5,803,984","304,049","434,755","1,087,857","1,245,598","681,403","842,966","1,207,356",,,
Tax due at time of filing [13]:Number....................................,"381,391","124,630","53,625","88,667","64,855","26,321","17,953","5,340",,,
Amount.................................................................................,"797,199","55,690","57,898","145,889","167,788","104,093","141,434","124,407",,,
Overpayments [14]:Number..................................................,"842,642","420,521","135,261","160,233","91,303","21,379","11,537","2,408",,,
Amount.................................................................................,"904,670","353,149","127,916","180,298","135,837","42,617","40,659","24,194",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
KANSAS,,,,,,,,0,,,
Number of returns....................................................................,"1,151,260","509,364","170,523","220,439","147,373","54,250","37,580","11,731",,,
Number of joint returns.........................................................,"536,148","93,174","73,388","147,078","127,801","49,768","34,303","10,636",,,
Number with paid preparer's signature................................,"545,121","207,099","78,806","113,319","79,992","30,434","25,230","10,241",,,
Number of exemptions [3]........................................................,"2,330,719","658,901","355,469","563,933","436,178","165,266","114,648","36,324",,,
Adjusted gross income (AGI) [4]..............................................,"41,094,943","4,295,901","4,204,377","8,641,686","8,942,735","4,630,196","4,902,050","5,477,998",,,
Salaries and wages in AGI:  Number...................................,"976,510","405,304","146,857","197,818","134,327","49,175","32,865","10,164",,,
Amount.............................................................................,"30,228,776","3,542,211","3,300,728","6,990,974","7,181,763","3,576,454","3,257,311","2,379,335",,,
Taxable interest:  Number....................................................,"691,058","221,898","92,644","153,034","125,362","50,385","36,164","11,571",,,
Amount.............................................................................,"1,743,094","359,022","190,842","291,997","269,610","149,088","194,475","288,060",,,
Tax-exempt interest [5]:Number........................................,"49,196","7,666","4,692","9,031","9,806","5,739","7,391","4,871",,,
Amount.............................................................................,"421,912","25,406","20,243","50,090","61,653","39,761","77,319","147,440",,,
Dividends:  Number..............................................................,"282,406","72,374","31,389","57,619","57,391","28,615","25,290","9,728",,,
Amount.............................................................................,"858,542","90,723","51,827","98,321","118,894","82,022","139,865","276,890",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"180,944","54,611","25,236","43,044","31,069","12,175","10,665","4,144",,,
Amount.............................................................................,"1,633,390","146,106","132,662","275,997","283,480","187,243","347,784","260,118",,,
Number of farm returns........................................................,"69,219","24,816","10,668","16,228","10,548","3,379","2,611",969,,,
Net capital gain (less loss) in AGI:  Number........................,"248,373","64,856","27,724","49,781","48,387","24,521","23,469","9,635",,,
Amount.............................................................................,"1,729,805","104,144","51,875","113,854","154,036","122,170","246,404","937,322",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"65,718","21,351","11,328","14,110","10,542","4,209","3,299",879,,,
Amount.............................................................................,"438,860","71,486","52,100","83,491","86,887","51,421","62,376","31,099",,,
Pensions and annuities in AGI:  Number.............................,"188,269","64,391","31,496","40,502","29,987","11,536","8,151","2,206",,,
Amount.............................................................................,"1,976,923","406,234","312,213","456,939","402,513","189,298","158,714","51,012",,,
Social Security benefits in AGI:  Number.............................,"81,328","1,794","16,269","29,900","19,207","6,964","5,526","1,668",,,
Amount.............................................................................,"584,082","4,723","28,176","156,163","202,852","88,559","77,157","26,452",,,
Total statutory adjustments:  Number..................................,"209,924","60,770","31,991","51,526","32,096","13,415","13,825","6,301",,,
Amount.............................................................................,"445,397","55,710","46,671","87,589","74,758","46,522","80,745","53,402",,,
Self-employment retirement plans [6]:  Number...............,"11,709",422,549,"1,696","2,651","1,843","3,084","1,464",,,
Amount.........................................................................,"81,469",689,"1,284","5,092","10,481","10,477","31,124","22,322",,,
Total itemized deductions [7]:Number...................................,"307,447","24,313","25,088","71,527","93,647","46,378","35,141","11,353",,,
Amount.................................................................................,"4,537,988","328,928","242,359","768,769","1,109,318","694,899","745,857","647,858",,,
Medical and dental expense:  Number.................................,"60,421","18,639","11,287","16,865","9,817","2,558","1,146",109,,,
Amount.............................................................................,"468,668","196,720","66,280","126,466","47,459","15,985","12,872","2,886",,,
Taxes paid:  Number............................................................,"304,855","21,959","24,705","71,529","93,764","46,405","35,137","11,356",,,
Amount.............................................................................,"1,673,907","36,788","49,569","205,127","389,886","278,081","334,354","380,102",,,
Interest paid:  Number..........................................................,"252,836","11,896","18,016","60,459","83,633","40,989","29,011","8,832",,,
Amount.............................................................................,"1,514,772","55,424","74,627","280,461","445,885","258,615","248,121","151,639",,,
Contributions:  Number........................................................,"270,830","16,473","19,910","60,917","85,037","43,784","33,691","11,018",,,
Amount.............................................................................,"778,245","26,794","33,871","104,144","165,876","108,852","133,329","205,379",,,
Taxable income:  Number........................................................,"947,156","308,934","167,622","219,824","147,271","54,227","37,559","11,719",,,
Amount.................................................................................,"27,700,005","1,386,820","2,256,604","5,563,443","6,370,601","3,463,099","3,853,276","4,806,162",,,
Total tax credits [8]:Number..................................................,"94,553","11,183","12,582","27,368","23,403","8,983","7,169","3,865",,,
Amount.................................................................................,"53,372","3,020","4,962","12,042","10,846","4,379","4,660","13,463",,,
Child care credit:  Number...................................................,"69,954","7,297","10,573","22,824","19,333","6,253","3,127",547,,,
Amount.............................................................................,"27,021","2,436","3,854","8,463","7,999","2,672","1,324",273,,,
Earned income credit [9]:Number.........................................,"150,022","118,988","31,034",--,--,--,--,0,,,
Amount.................................................................................,"208,105","185,678","22,427",--,--,--,--,0,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"112,158","103,123","9,035",--,--,--,--,0,,,
Amount.............................................................................,"161,757","155,688","6,068",--,--,--,--,1,,,
