"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
Medical and dental expense:  Number.................................,"742,306","236,584","137,032","196,641","110,967","37,106","21,359"
Amount.............................................................................,"4,249,185","1,484,374","728,537","916,084","585,290","236,219","224,866"
Taxes paid:  Number............................................................,"4,657,622","468,951","442,130","1,092,995","1,172,630","658,446","621,407"
Amount.............................................................................,"31,904,394","1,148,223","927,569","3,213,493","5,128,270","4,269,088","6,746,516"
Interest paid:  Number..........................................................,"3,985,926","379,776","361,374","931,461","1,022,948","581,445","537,238"
Amount.............................................................................,"46,614,292","3,887,992","3,043,771","8,084,275","10,319,132","7,035,719","8,665,071"
Contributions:  Number........................................................,"4,147,391","305,359","370,216","977,110","1,087,860","623,970","590,842"
Amount.............................................................................,"10,888,331","328,989","464,901","1,395,811","1,903,475","1,370,026","1,843,605"
Taxable income:  Number........................................................,"10,510,635","3,132,592","1,817,890","2,369,786","1,598,116","741,713","646,631"
Amount.................................................................................,"360,350,944","14,770,889","24,108,385","57,879,854","64,992,240","44,041,227","62,084,932"
Total tax credits [8]:Number..................................................,"1,020,847","123,009","139,292","234,134","218,846","122,782","121,041"
Amount.................................................................................,"876,824","38,911","71,153","131,563","126,457","70,962","93,812"
Child care credit:  Number...................................................,"707,338","73,987","119,214","187,051","167,653","88,085","61,022"
Amount.............................................................................,"354,581","31,273","62,848","95,999","85,505","44,302","29,399"
Earned income credit [9]:Number.........................................,"2,328,577","1,973,569","355,008",--,--,--,--
Amount.................................................................................,"3,413,006","3,148,580","264,426",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"1,848,909","1,719,889","129,020",--,--,--,--
Amount.............................................................................,"2,736,918","2,643,747","93,172",--,--,--,--
Income tax [11]:Number........................................................,"10,447,492","3,087,886","1,804,679","2,364,589","1,597,627","741,813","646,844"
Amount.................................................................................,"80,227,832","2,216,436","3,552,941","9,283,221","11,335,180","8,748,502","14,510,427"
Total tax liability [12]:Number................................................,"10,982,288","3,578,546","1,834,274","2,376,078","1,599,766","742,305","647,184"
Amount.................................................................................,"84,950,511","3,049,509","3,964,833","10,034,094","12,099,893","9,248,130","15,321,842"
Tax due at time of filing [13]:Number....................................,"3,590,262","1,061,114","513,121","772,112","556,183","295,556","285,204"
Amount.................................................................................,"11,147,782","602,411","508,889","1,100,026","1,226,793","955,140","1,823,376"
Overpayments [14]:Number..................................................,"9,078,709","4,445,645","1,323,941","1,547,473","984,475","411,714","308,662"
Amount.................................................................................,"13,458,428","4,994,234","1,307,980","2,078,566","1,971,219","1,092,121","1,253,988"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
COLORADO,,,,,,,
Number of returns....................................................................,"1,839,481","782,330","273,805","348,155","235,268","97,306","78,906"
Number of joint returns.........................................................,"757,784","114,160","89,802","189,775","188,271","85,449","69,793"
Number with paid preparer's signature................................,"718,760","246,265","94,856","147,370","111,689","49,715","48,782"
Number of exemptions [3]........................................................,"3,552,647","1,010,978","517,458","792,357","647,499","283,136","231,881"
Adjusted gross income (AGI) [4]..............................................,"71,805,408","6,500,503","6,761,065","13,606,896","14,312,476","8,330,490","10,352,902"
Salaries and wages in AGI:  Number...................................,"1,579,077","632,865","240,222","312,806","214,402","88,821","69,995"
Amount.............................................................................,"52,125,006","5,849,171","5,490,964","11,045,071","11,457,941","6,478,713","7,073,521"
Taxable interest:  Number....................................................,"1,090,001","313,013","143,892","243,572","200,347","90,142","75,702"
Amount.............................................................................,"2,416,447","369,843","189,718","329,987","336,935","207,162","327,840"
Tax-exempt interest [5]:Number........................................,"86,651","13,370","7,298","15,221","16,481","10,183","14,780"
Amount.............................................................................,"720,774","51,973","32,525","79,959","114,044","65,495","134,496"
Dividends:  Number..............................................................,"491,844","121,522","49,799","95,963","96,769","53,602","54,475"
Amount.............................................................................,"1,627,869","180,091","90,284","183,823","219,533","161,121","294,068"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"316,534","99,096","41,361","68,699","52,961","23,662","22,738"
Amount.............................................................................,"3,175,994","315,987","262,468","508,539","529,378","363,902","681,836"
Number of farm returns........................................................,"34,056","12,544","4,556",,"69,414,866","1,995","2,112"
Net capital gain (less loss) in AGI:  Number........................,"422,166","103,547","41,700","79,513","80,276","46,071","51,080"
Amount.............................................................................,"4,684,314","197,720","83,754","211,048","314,631","286,308","686,406"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"83,281","22,228","13,370","19,154","15,122","6,489","5,488"
Amount.............................................................................,"658,911","81,709","65,102","118,744","131,703","84,468","115,912"
Pensions and annuities in AGI:  Number.............................,"276,764","79,206","43,079","62,611","49,551","21,262","16,926"
Amount.............................................................................,"3,779,660","568,017","509,131","906,399","858,740","424,156","401,897"
Social Security benefits in AGI:  Number.............................,"101,922","2,440","16,758","36,955","25,506","9,365","8,165"
Amount.............................................................................,"682,718","7,644","29,070","174,621","234,343","101,104","98,433"
Total statutory adjustments:  Number..................................,"349,409","101,259","49,659","78,771","53,823","25,277","28,195"
Amount.............................................................................,"827,222","104,545","79,002","146,725","136,463","88,160","160,247"
Self-employment retirement plans [6]:  Number...............,"23,440","1,131","1,230","3,402","5,097","3,741","6,002"
Amount.........................................................................,"167,791","2,221","3,348","11,649","21,679","21,049","59,948"
Total itemized deductions [7]:Number...................................,"643,182","51,709","63,336","169,621","175,971","85,895","73,933"
Amount.................................................................................,"10,041,942","768,832","645,476","1,844,881","2,356,628","1,440,747","1,653,098"
Medical and dental expense:  Number.................................,"96,127","28,429","18,392","28,414","14,623","4,113","1,950"
Amount.............................................................................,"557,391","274,453","71,983","103,335","61,231","22,444","17,719"
Taxes paid:  Number............................................................,"640,481","49,634","62,895","169,372","176,012","85,914","73,929"
Amount.............................................................................,"2,958,510","94,947","112,321","426,781","655,267","450,608","591,413"
Interest paid:  Number..........................................................,"584,702","40,049","55,725","156,722","166,048","80,337","66,618"
Amount.............................................................................,"4,877,861","326,996","358,483","1,000,418","1,242,932","710,929","756,191"
Contributions:  Number........................................................,"561,630","34,629","50,442","144,272","159,263","80,750","70,518"
Amount.............................................................................,"1,323,776","37,832","58,003","183,345","255,633","172,017","224,116"
Taxable income:  Number........................................................,"1,534,949","484,685","268,737","346,724","235,023","97,246","78,847"
Amount.................................................................................,"49,533,065","2,351,315","3,764,906","8,722,988","9,938,050","6,098,555","8,092,316"
Total tax credits [8]:Number..................................................,"144,545","19,040","17,709","34,007","33,597","16,214","16,017"
Amount.................................................................................,"94,529","5,002","7,258","14,591","15,845","8,594","12,666"
Child care credit:  Number...................................................,"96,944","10,661","14,302","26,908","25,933","10,800","6,982"
Amount.............................................................................,"39,874","3,885","5,881","10,636","11,096","4,728","2,993"
Earned income credit [9]:Number.........................................,"238,004","194,768","43,236",--,--,--,--
Amount.................................................................................,"321,286","289,985","31,301",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"178,797","165,922","12,875",--,--,--,--
Amount.............................................................................,"249,350","240,591","8,760",--,--,--,--
Income tax [11]:Number........................................................,"1,527,056","478,089","267,826","346,382","234,967","97,242","78,854"
Amount.................................................................................,"10,499,569","352,576","558,653","1,385,179","1,702,763","1,222,235","1,905,522"
Total tax liability [12]:Number................................................,"1,575,104","523,510","269,783","346,917","235,061","97,263","78,870"
Amount.................................................................................,"11,050,480","434,254","612,054","1,488,058","1,804,969","1,283,697","1,997,487"
Tax due at time of filing [13]:Number....................................,"558,519","159,706","78,793","123,011","94,296","48,113","40,974"
Amount.................................................................................,"1,546,340","78,181","71,538","163,403","189,877","151,288","273,653"
Overpayments [14]:Number..................................................,"1,182,262","567,020","187,459","214,701","132,259","44,427","31,012"
Amount.................................................................................,"1,412,194","505,293","160,675","249,483","212,821","99,257","116,739"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
CONNECTICUT,,,,,,,
Number of returns....................................................................,"1,581,255","591,428","211,622","297,236","230,787","112,010","98,163"
Number of joint returns.........................................................,"640,957","70,200","52,531","125,678","171,750","98,042","87,180"
Number with paid preparer's signature................................,"621,356","182,432","68,425","117,797","108,837","55,569","56,859"
Number of exemptions [3]........................................................,"2,960,169","663,113","353,782","599,654","606,142","324,661","289,971"
Adjusted gross income (AGI) [4]..............................................,"81,343,550","4,474,081","5,250,620","11,665,489","14,118,659","9,616,628","12,960,785"
Salaries and wages in AGI:  Number...................................,"1,320,267","434,701","180,656","265,796","211,339","103,788","89,023"
Amount.............................................................................,"60,288,190","3,713,708","4,130,247","9,489,312","11,553,340","7,920,087","9,818,906"
Taxable interest:  Number....................................................,"1,099,133","290,890","127,096","228,395","209,954","107,414","95,846"
Amount.............................................................................,"2,802,336","431,381","212,306","357,582","373,885","222,878","331,054"
Tax-exempt interest [5]:Number........................................,"108,377","15,383","7,500","15,837","18,493","12,741","20,440"
Amount.............................................................................,"1,122,864","54,460","34,193","87,276","113,140","84,773","193,659"
Dividends:  Number..............................................................,"506,442","125,219","44,146","84,803","92,447","58,383","66,835"
Amount.............................................................................,"2,303,817","204,765","102,385","207,164","257,576","190,543","377,620"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"213,001","53,670","22,294","41,590","40,629","21,216","23,183"
Amount.............................................................................,"3,414,474","249,436","205,414","422,014","484,097","357,059","770,487"
Number of farm returns........................................................,"3,245",911,309,618,564,287,317
Net capital gain (less loss) in AGI:  Number........................,"382,126","88,563","30,063","60,274","68,094","44,953","57,137"
Amount.............................................................................,"5,428,300","198,683","49,980","129,183","211,731","208,596","544,053"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"100,666","30,736","15,328","20,133","16,725","7,912","7,369"
Amount.............................................................................,"807,789","112,202","74,935","122,974","136,086","92,784","153,724"
Pensions and annuities in AGI:  Number.............................,"270,770","87,724","37,956","52,208","45,045","21,878","19,181"
Amount.............................................................................,"3,485,540","586,190","406,126","677,235","706,414","405,896","450,812"
Social Security benefits in AGI:  Number.............................,"123,361","3,376","21,850","40,546","30,326","12,008","10,964"
Amount.............................................................................,"937,834","9,603","41,158","221,904","312,975","144,001","144,934"
Total statutory adjustments:  Number..................................,"259,141","60,327","31,528","53,764","44,481","23,186","28,600"
Amount.............................................................................,"862,468","71,849","56,349","113,375","117,645","84,573","184,861"
Self-employment retirement plans [6]:  Number...............,"25,787",809,942,"2,756","4,595","3,737","7,194"
Amount.........................................................................,"233,085","1,917","2,768","10,260","20,351","22,075","73,708"
Total itemized deductions [7]:Number...................................,"609,329","41,654","42,216","125,567","165,811","99,947","94,678"
Amount.................................................................................,"11,945,137","843,780","461,376","1,492,280","2,360,230","1,759,295","2,335,303"
Medical and dental expense:  Number.................................,"81,932","24,368","14,839","21,542","13,432","4,480","2,835"
Amount.............................................................................,"736,504","381,413","74,863","106,862","77,472","37,952","42,902"
Taxes paid:  Number............................................................,"608,361","40,003","42,168","125,913","166,120","100,013","94,681"
Amount.............................................................................,"5,119,400","137,162","139,345","511,969","920,586","740,069","1,046,784"
Interest paid:  Number..........................................................,"516,141","26,921","32,236","106,368","146,738","88,326","81,571"
Amount.............................................................................,"4,776,759","277,049","184,587","672,881","1,056,288","741,928","937,636"
Contributions:  Number........................................................,"561,619","29,848","36,269","112,804","155,722","96,282","92,050"
Amount.............................................................................,"1,346,498","26,178","35,112","117,732","195,131","156,596","240,996"
Taxable income:  Number........................................................,"1,356,649","373,568","207,477","295,509","230,203","111,847","98,068"
Amount.................................................................................,"59,758,017","1,743,760","3,070,149","7,754,515","9,833,716","6,961,613","9,885,605"
Total tax credits [8]:Number..................................................,"113,025","11,590","10,284","18,320","24,750","16,352","18,051"
Amount.................................................................................,"112,860","2,379","4,207","7,050","10,767","7,583","10,633"
Child care credit:  Number...................................................,"64,928","4,533","7,992","13,095","18,102","11,244","8,082"
Amount.............................................................................,"29,776","1,768","3,815","5,765","8,257","5,340","3,829"
Earned income credit [9]:Number.........................................,"140,434","115,194","25,240",--,--,--,--
Amount.................................................................................,"174,875","157,344","17,532",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"103,902","97,509","6,393",--,--,--,--
Amount.............................................................................,"134,837","130,763","4,074",--,--,--,--
Income tax [11]:Number........................................................,"1,353,356","370,790","207,062","295,386","230,188","111,854","98,082"
Amount.................................................................................,"14,245,060","266,106","457,924","1,266,866","1,721,233","1,394,550","2,323,540"
Total tax liability [12]:Number................................................,"1,380,136","395,104","208,707","295,989","230,330","111,892","98,115"
Amount.................................................................................,"14,789,404","320,744","495,815","1,346,121","1,811,098","1,455,074","2,429,751"
Tax due at time of filing [13]:Number....................................,"428,455","128,180","48,287","78,620","68,430","41,213","41,516"
Amount.................................................................................,"1,497,512","61,094","45,506","104,942","132,680","110,434","219,705"
Overpayments [14]:Number..................................................,"1,060,480","413,794","156,941","209,428","154,151","65,930","49,125"
Amount.................................................................................,"1,633,578","344,633","153,740","304,686","322,441","168,368","186,383"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
DELAWARE,,,,,,,
Number of returns....................................................................,"349,682","146,221","51,153","65,604","46,710","20,706","15,332"
Number of joint returns.........................................................,"138,153","18,657","14,535","32,027","37,175","18,559","13,792"
Number with paid preparer's signature................................,"126,079","42,310","16,429","26,158","20,953","9,381","7,810"
Number of exemptions [3]........................................................,"677,015","195,670","94,296","143,050","127,017","60,767","45,049"
Adjusted gross income (AGI) [4]..............................................,"13,759,268","1,336,036","1,261,072","2,567,733","2,853,654","1,772,649","1,996,982"
Salaries and wages in AGI:  Number...................................,"302,072","119,295","44,613","59,091","42,747","19,126","13,884"
Amount.............................................................................,"10,259,350","1,076,736","1,003,112","2,068,310","2,292,180","1,428,919","1,470,091"
Taxable interest:  Number....................................................,"198,170","53,061","25,156","43,603","38,810","18,967","14,664"
Amount.............................................................................,"420,495","73,094","39,131","65,138","65,611","40,144","53,119"
Tax-exempt interest [5]:Number........................................,"16,183","2,019","1,249",,"26,573,247","2,111","2,949"
Amount.............................................................................,"174,071","6,496","5,236","14,699","21,603","16,925","28,675"
Dividends:  Number..............................................................,"92,273","20,986","9,489","17,586","18,554","11,011","11,118"
Amount.............................................................................,"480,210","31,090","19,799","39,842","51,746","38,677","74,050"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"37,508","10,714","4,579","8,194","6,819","3,227","2,989"
Amount.............................................................................,"372,503","35,819","29,892","56,086","57,725","39,178","79,014"
Number of farm returns........................................................,"2,822",858,394,648,497,196,151
Net capital gain (less loss) in AGI:  Number........................,"65,769","13,445","5,850","12,191","13,406","8,327","9,225"
Amount.............................................................................,"623,787","21,241","10,207","26,368","42,556","39,774","93,033"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"18,030","4,740","2,833","3,912","3,416","1,619","1,212"
Amount.............................................................................,"132,774","16,009","12,799","23,682","27,940","17,975","24,182"
Pensions and annuities in AGI:  Number.............................,"67,224","20,510","10,262","14,243","11,976","5,340","3,928"
Amount.............................................................................,"908,886","148,393","122,219","195,812","198,602","104,976","100,281"
Social Security benefits in AGI:  Number.............................,"25,579",615,"4,443","8,865","6,447","2,525","2,025"
Amount.............................................................................,"193,372","2,050","8,018","48,078","67,992","31,145","26,480"
Total statutory adjustments:  Number..................................,"43,342","11,513","6,050","9,887","7,188","3,405","3,709"
Amount.............................................................................,"99,959","11,836","9,331","16,893","15,804","9,698","19,468"
Self-employment retirement plans [6]:  Number...............,"2,594",91,107,316,514,383,754
Amount.........................................................................,"19,519",244,257,903,"1,993","1,994","6,699"
Total itemized deductions [7]:Number...................................,"119,936","7,252","10,086","30,163","34,992","18,760","14,802"
Amount.................................................................................,"1,894,878","76,145","94,200","320,425","456,227","308,266","334,106"
Medical and dental expense:  Number.................................,"21,377","5,408","5,351","6,413","2,610",896,594
Amount.............................................................................,"110,567","23,895","18,176","28,362","16,694","8,275","10,365"
Taxes paid:  Number............................................................,"120,824","7,112","10,317","30,615","35,273","18,807","14,818"
Amount.............................................................................,"659,479","9,523","18,388","83,652","147,102","113,102","142,186"
Interest paid:  Number..........................................................,"108,098","5,521","8,924","27,859","32,481","17,220","12,925"
Amount.............................................................................,"823,826","34,646","48,107","167,285","222,848","137,379","131,223"
Contributions:  Number........................................................,"110,098","5,463","8,579","26,963","32,790","18,107","14,405"
Amount.............................................................................,"291,372","6,060","10,201","35,194","52,953","38,962","46,980"
Taxable income:  Number........................................................,"292,587","90,086","50,474","65,387","46,669","20,696","15,324"
Amount.................................................................................,"9,336,622","435,763","715,140","1,682,308","1,999,880","1,297,629","1,546,857"
Total tax credits [8]:Number..................................................,"27,393","3,738","3,505","5,695","6,569","3,300","3,046"
Amount.................................................................................,"15,582","1,124","1,499","2,339","2,869","1,494","2,275"
Child care credit:  Number...................................................,"19,715","2,686","3,079","4,762","5,340","2,369","1,279"
Amount.............................................................................,"8,685",999,"1,411","2,059","2,451","1,094",575
Earned income credit [9]:Number.........................................,"49,660","41,077","8,583",--,--,--,--
Amount.................................................................................,"72,037","65,846","6,191",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"39,168","36,722","2,446",--,--,--,--
Amount.............................................................................,"58,420","56,799","1,621",--,--,--,--
Income tax [11]:Number........................................................,"291,168","88,825","50,339","65,363","46,668","20,697","15,323"
Amount.................................................................................,"1,968,024","64,932","106,037","268,676","344,000","259,177","361,796"
Total tax liability [12]:Number................................................,"296,507","93,930","50,528","65,398","46,673","20,698","15,325"
Amount.................................................................................,"2,036,419","74,380","112,172","280,576","356,456","266,606","373,598"
Tax due at time of filing [13]:Number....................................,"89,327","23,394","11,625","18,832","15,987","9,348","7,806"
Amount.................................................................................,"213,279","10,683","9,634","22,477","28,150","22,999","37,706"
Overpayments [14]:Number..................................................,"246,205","114,881","38,449","45,319","29,470","10,635","6,496"
Amount.................................................................................,"315,312","116,168","36,864","58,001","50,824","22,121","20,418"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
DISTRICT OF COLUMBIA,,,,,,,
Number of returns....................................................................,"270,163","114,272","49,852","51,935","25,222","11,138","12,243"
Number of joint returns.........................................................,"44,684","6,909","4,988",,"76,917,803","5,250","7,892"
Number with paid preparer's signature................................,"102,946","41,784","16,764","18,196","10,175","5,073","6,663"
Number of exemptions [3]........................................................,"460,598","178,603","88,780","87,161","43,798","21,510","26,805"
Adjusted gross income (AGI) [4]..............................................,"11,229,606","968,421","1,232,934","1,994,885","1,529,101","956,698","1,655,239"
Salaries and wages in AGI:  Number...................................,"225,457","91,020","43,452","45,357","21,594","9,484","10,352"
Amount.............................................................................,"7,735,728","907,337","1,023,909","1,628,914","1,184,870","714,753","1,139,503"
Taxable interest:  Number....................................................,"129,504","32,629","19,570","30,434","20,026","9,879","11,561"
Amount.............................................................................,"409,585","47,209","18,287","38,040","40,617","29,205","54,780"
Tax-exempt interest [5]:Number........................................,"14,171","1,320",715,,"17,662,262","1,829","3,411"
Amount.............................................................................,"231,486","6,677","4,032","11,566","30,421","15,809","38,674"
Dividends:  Number..............................................................,"54,568","9,999","5,186","10,295","9,545","5,952","8,743"
Amount.............................................................................,"398,259","18,208","9,956","23,326","31,590","30,953","75,898"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"31,426","11,027","3,753",,"52,893,811","2,308","3,381"
Amount.............................................................................,"399,276","32,353","19,856","37,842","39,867","36,332","96,616"
Number of farm returns........................................................,301,39,18,,3443,31,70
Net capital gain (less loss) in AGI:  Number........................,"43,042","7,351","3,476",,"74,077,507","4,963","7,707"
Amount.............................................................................,"708,851","29,456","6,737","16,825","26,810","27,225","93,307"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"8,199","1,645","1,121",,"17,671,419",805,"1,003"
Amount.............................................................................,"66,278","7,088","4,706",,"93,939,564","7,590","14,155"
Pensions and annuities in AGI:  Number.............................,"47,156","15,441","8,340","10,095","6,148","2,815","3,097"
Amount.............................................................................,"952,449","158,690","139,881","216,452","171,048","94,183","117,610"
Social Security benefits in AGI:  Number.............................,"14,785",525,"2,247",,"47,673,214","1,475","1,762"
Amount.............................................................................,"99,406","2,077","4,650","20,939","24,575","14,241","21,156"
Total statutory adjustments:  Number..................................,"33,715","10,598","4,461","5,887","3,722","2,293","3,748"
Amount.............................................................................,"134,996","10,215","7,159","11,582","11,233","8,715","25,615"
Self-employment retirement plans [6]:  Number...............,"4,530",165,187,435,528,466,"1,161"
Amount.........................................................................,"55,601",302,521,"1,667","2,963","2,968","12,029"
Total itemized deductions [7]:Number...................................,"89,814","9,048","11,594","23,065","18,879","10,007","11,791"
Amount.................................................................................,"1,793,968","100,338","122,467","287,432","279,182","191,674","331,466"
Medical and dental expense:  Number.................................,"13,572","3,813","2,621","3,803","2,212",661,400
Amount.............................................................................,"83,899","23,948","13,153","18,562","12,889","5,594","6,626"
Taxes paid:  Number............................................................,"89,083","8,533","11,510","22,978","18,848","10,010","11,776"
Amount.............................................................................,"676,392","13,492","22,322","74,215","98,785","75,715","145,478"
Interest paid:  Number..........................................................,"60,774","4,967","6,452","15,223","13,063","7,196","9,222"
Amount.............................................................................,"616,874","38,747","37,075","96,193","99,049","69,165","125,646"
Contributions:  Number........................................................,"82,401","7,166","10,595","21,467","17,403","9,348","11,167"
Amount.............................................................................,"325,689","11,585","24,043","54,071","45,399","27,937","42,384"
Taxable income:  Number........................................................,"221,066","66,461","49,051","51,608","25,124","11,112","12,216"
Amount.................................................................................,"7,874,382","346,097","703,058","1,352,641","1,106,296","704,650","1,256,934"
Total tax credits [8]:Number..................................................,"24,123","5,882","5,284","4,129","2,116","1,533","2,810"
Amount.................................................................................,"18,791","1,968","3,068","2,148","1,001",772,"1,858"
Child care credit:  Number...................................................,"14,909","3,415","4,888","3,394","1,202",647,930
Amount.............................................................................,"8,184","1,500","2,982","1,924",642,345,508
Earned income credit [9]:Number.........................................,"53,842","44,603","9,239",--,--,--,--
Amount.................................................................................,"76,699","69,788","6,910",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"43,642","40,244","3,398",--,--,--,--
Amount.............................................................................,"63,752","61,327","2,426",--,--,--,--
Income tax [11]:Number........................................................,"218,147","64,114","48,528","51,552","25,123","11,116","12,220"
Amount.................................................................................,"1,843,708","51,043","102,907","225,772","216,154","152,784","305,740"
Total tax liability [12]:Number................................................,"223,803","69,452","48,689","51,640","25,164","11,127","12,232"
Amount.................................................................................,"1,935,552","60,390","107,572","234,512","225,009","159,668","324,070"
Tax due at time of filing [13]:Number....................................,"70,283","19,283","12,720","16,000","8,925","4,566","5,913"
Amount.................................................................................,"204,538","11,010","10,434","20,486","18,168","14,116","32,783"
Overpayments [14]:Number..................................................,"186,603","88,122","36,301","34,802","15,298","5,912","5,027"
Amount.................................................................................,"276,967","110,966","37,051","47,430","30,923","15,229","19,745"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
FLORIDA,,,,,,,
Number of returns....................................................................,"6,748,748","3,304,114","1,049,241","1,141,907","683,178","261,328","218,013"
Number of joint returns.........................................................,"2,691,662","617,367","394,531","654,083","541,376","223,863","184,341"
Number with paid preparer's signature................................,"2,838,226","1,222,016","402,321","500,792","336,589","145,158","150,732"
Number of exemptions [3]........................................................,"12,978,854","5,029,590","2,054,972","2,568,581","1,781,078","712,977","588,093"
Adjusted gross income (AGI) [4]..............................................,"245,121,880","28,190,558","25,758,074","44,386,763","41,416,556","22,357,938","28,906,679"
Salaries and wages in AGI:  Number...................................,"5,444,429","2,570,344","877,014","967,651","573,529","216,270","171,001"
Amount.............................................................................,"159,269,417","24,547,322","19,820,582","33,798,785","30,184,962","15,501,657","17,071,792"
Taxable interest:  Number....................................................,"3,480,420","1,143,357","519,698","741,492","549,670","233,189","204,300"
Amount.............................................................................,"12,907,934","2,181,266","1,141,828","1,762,091","1,685,547","985,001","1,581,161"
Tax-exempt interest [5]:Number........................................,"351,869","61,289","36,148","67,297","65,547","35,520","48,508"
Amount.............................................................................,"6,072,785","409,078","266,997","784,200","803,390","500,008","1,010,615"
Dividends:  Number..............................................................,"1,603,681","450,938","200,109","313,772","275,417","139,765","147,337"
Amount.............................................................................,"9,128,224","1,016,735","583,497","1,054,836","1,174,243","793,325","1,432,047"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"955,221","419,940","126,072","169,617","115,709","49,710","49,886"
Amount.............................................................................,"9,102,208","1,730,417","817,963","1,234,324","1,074,941","709,408","1,490,174"
Number of farm returns........................................................,"41,004","12,070","4,802","7,975","6,722","3,151","3,618"
Net capital gain (less loss) in AGI:  Number........................,"1,342,253","361,842","158,603","255,249","229,188","121,457","139,056"
Amount.............................................................................,"21,187,165","825,432","280,575","690,725","1,054,177","932,464","2,286,371"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"406,946","124,729","66,949","83,803","65,156","28,816","26,969"
Amount.............................................................................,"3,869,558","510,761","359,143","585,036","653,898","437,273","735,467"
Pensions and annuities in AGI:  Number.............................,"1,236,111","428,736","207,401","257,809","186,566","74,312","60,164"
Amount.............................................................................,"17,369,500","3,029,088","2,472,810","3,898,938","3,597,663","1,758,400","1,720,113"
Social Security benefits in AGI:  Number.............................,"596,629","18,102","104,843","203,302","139,693","55,179","52,344"
Amount.............................................................................,"4,562,381","65,595","209,936","1,119,878","1,453,399","675,921","692,581"
Total statutory adjustments:  Number..................................,"1,089,065","415,530","155,670","212,144","131,977","60,220","70,638"
Amount.............................................................................,"2,292,062","388,376","238,694","388,565","322,957","200,756","369,457"
Self-employment retirement plans [6]:  Number...............,"38,504","2,175","2,376","5,203","7,327","5,322","9,546"
Amount.........................................................................,"311,534","4,713","6,497","18,169","32,398","33,281","101,374"
Total itemized deductions [7]:Number...................................,"1,615,241","214,663","199,007","397,489","372,224","185,559","173,787"
